Video ID,Comment,Author,Likes,Published At,Comment ID
EBOKYsWUhvI,"​@Chaudhary Mitulor ese to Brij Bhushan 6 baar election jeeta hua hai fir to Brij Bhushan acha banda ho gaya agar Election ke basis par person ko dekh rahe ho to.
Or ese hi Atiq bhi acha banda ho gaya agar election me jeetne ke purpose se dekh rahe ho to.",Pardeep Sharma,0.0,2023-06-26T06:34:21Z,Ugz8qKKSo5DuyDfvWnd4AaABAg.9rPpd9KUlMH9rPuErzQGXT
EBOKYsWUhvI,"​@Chaudhary Mitulkyon Bhai ese word kyon uske liye ??? Kya usne desh ke liye medal nahi jeete kya??
Ya fir sab kuch yahi hai apke liye Jo andolan me bethe the???",Pardeep Sharma,0.0,2023-06-26T06:32:45Z,Ugz8qKKSo5DuyDfvWnd4AaABAg.9rPpd9KUlMH9rPu3D80XJn
EBOKYsWUhvI,Dalla 😂😂 nambar 1 hai yogeshwer 2 baar bjp se lad ke har gaya 3 baar harenga,Chaudhary Mitul,1.0,2023-06-26T06:07:04Z,Ugz8qKKSo5DuyDfvWnd4AaABAg.9rPpd9KUlMH9rPr71uyQoP
EBOKYsWUhvI,"एक तो इनकी बेचारे दिखने वाली ये फोटोज plz हटा दो, ये हमारे दबंग पहलवान हैं

देखा कैसे अपनी बात मनवा ली आंदोलन करके और सिर्फ ये लोग सच्चे है और बाकी झूठे, इनके medal original हैं और योगेश्वर दत्त, दीपक पूनिया जो ओलंपियन और वर्ल्ड कप गोल्ड मेडलिस्ट हैं. रवि दहिया ने ओलंपिक और वर्ल्ड कप दोनों में मेडल जीते हैं. अंशु मलिक, सोनम मलिक ,सरिता मोरे, अंतिम पंघल इनके medal नकली हैं और भारत सरकार ने दिलाये थे 
और वाह रे govt सिर्फ इन 3+3 को छूट दी",JAYANT SINGH Bohra,0.0,2023-06-26T05:35:52Z,Ugxu7zuc7Tz1IQnw7UJ4AaABAg
EBOKYsWUhvI,"@dil k alfaaz are oh Bhai National level ke Nay Nay player har saal teyar hote hai.
Junior ko mauka Dena band kar de kya???
Mtlb tumhe sirf itna samgh nahi aa raha hai kya ki games me sab barabar ho kar khelne chaiye.
Or inke level ke or bhi kai pahalwan hai to sirf chhut sirf inko hi kyon???",Pardeep Sharma,1.0,2023-07-02T19:42:28Z,UgwI3gDLKOHzZvuMjIV4AaABAg.9rPmcGClfy09rflCT8WnFc
EBOKYsWUhvI,​@Pardeep Sharmavo log national champion h trial kitni hi bdi baat hogi unke liye ...thoda to dimag lgao,dil k alfaaz,0.0,2023-07-02T15:25:45Z,UgwI3gDLKOHzZvuMjIV4AaABAg.9rPmcGClfy09rfIpEOcPFK
EBOKYsWUhvI,"​@sunil rehniwalfir khul kar kyoki nahi kaha inhone ki hume trail me special treatment nahi chaiye.

Khud se mana kar dena chaiye tha ki hume trail me chhut nahi chaiye.

Jabki inke phle ke interview me inhone saaf kaha hua hai ki trail na karaye jaye humse itne",Pardeep Sharma,3.0,2023-06-26T06:30:57Z,UgwI3gDLKOHzZvuMjIV4AaABAg.9rPmcGClfy09rPtqwZ2Yz0
EBOKYsWUhvI,न्यूज़ तो पुरा सुन लो,sunil rehniwal,0.0,2023-06-26T05:58:29Z,UgwI3gDLKOHzZvuMjIV4AaABAg.9rPmcGClfy09rPq89R3Guk
EBOKYsWUhvI,छुट नही मांगी समय मागा,sunil rehniwal,1.0,2023-06-26T05:57:51Z,UgwI3gDLKOHzZvuMjIV4AaABAg.9rPmcGClfy09rPq3UJWaLN
EBOKYsWUhvI,Bhagwan v uper se dekh rha h tmko dimag dena bhul gya,hitmann,1.0,2023-06-28T05:58:06Z,UgwOIm_CHkfSZZSVMMR4AaABAg.9rPl_Z7cOyz9rUzg4Q5WNR
